NSE	17635	ZYDUSWELL	ZYDUSWELL-EQ	EQ	1011980	10	1	EQ	0	2	1	INE768C01010	1	ZYDUS WELLNESS LIMITED
NSE	7929	ZYDUSLIFE	ZYDUSLIFE-EQ	EQ	1011980	5	1	EQ	0	2	1	INE010B01027	1	ZYDUS LIFESCIENCES LTD
NSE	3827	ZUARIIND	ZUARIIND-EQ	EQ	1011980	5	1	EQ	0	2	1	INE217A01012	1	ZUARI INDUSTRIES LIMITED
NSE	29050	ZUARI	ZUARI-EQ	EQ	1011980	1	1	EQ	0	2	1	INE840M01016	1	ZUARI AGRO CHEMICALS LTD
NSE	11394	ZOTA	ZOTA-EQ	EQ	1011980	5	1	EQ	0	2	1	INE358U01012	1	ZOTA HEALTH CARE LIMITED
NSE	3821	ZODIACLOTH	ZODIACLOTH-EQ	EQ	1011980	1	1	EQ	0	2	1	INE206B01013	1	ZODIAC CLOTHING CO. LTD.
NSE	7129	ZODIAC	ZODIAC-EQ	EQ	1011980	5	1	EQ	0	2	1	INE761Y01019	1	ZODIAC ENERGY LIMITED
NSE	12384	ZIMLAB	ZIMLAB-EQ	EQ	1011980	1	1	EQ	0	2	1	INE518E01015	1	ZIM LABORATORIES LIMITED
NSE	16915	ZFCVINDIA	ZFCVINDIA-EQ	EQ	1011980	100	1	EQ	0	2	1	INE342J01019	1	ZF COM VE CTR SYS IND LTD
NSE	7508	ZENTEC	ZENTEC-EQ	EQ	1011980	10	1	EQ	0	2	1	INE251B01027	1	ZEN TECHNOLOGIES LIMITED
NSE	1076	ZENSARTECH	ZENSARTECH-EQ	EQ	1011980	5	1	EQ	0	2	1	INE520A01027	1	ZENSAR TECHNOLOGIES  LTD
NSE	14562	ZENITHSTL	ZENITHSTL-EQ	EQ	1011980	1	1	EQ	0	2	1	INE318D01020	1	ZENITH STEEL PIP IND LTD
NSE	8802	ZENITHEXPO	ZENITHEXPO-BE	BE	1011980	5	1	BE	0	2	1	INE058B01018	1	ZENITH EXPORTS LTD
NSE	14003	ZEEMEDIA	ZEEMEDIA-EQ	EQ	1011980	1	1	EQ	0	2	1	INE966H01019	1	ZEE MEDIA CORPORATION LTD
NSE	3812	ZEEL	ZEEL-EQ	EQ	1011980	1	1	EQ	0	2	1	INE256A01028	1	ZEE ENTERTAINMENT ENT LTD
NSE	20856	ZEELEARN	ZEELEARN-BE	BE	1011980	1	1	BE	0	2	1	INE565L01011	1	ZEE LEARN LIMITED
NSE	18608	ZAGGLE	ZAGGLE-EQ	EQ	1011980	5	1	EQ	0	2	1	INE07K301024	1	ZAGGLE PREPA OCEAN SER L
NSE	5501	YUKEN	YUKEN-EQ	EQ	1011980	10	1	EQ	0	2	1	INE384C01016	1	YUKEN INDIA LIMITED
NSE	11915	YESBANK	YESBANK-EQ	EQ	1011980	1	1	EQ	0	2	1	INE528G01035	1	YES BANK LIMITED
NSE	18760	YATRA	YATRA-EQ	EQ	1011980	1	1	EQ	0	2	1	INE0JR601024	1	YATRA ONLINE LIMITED
NSE	17738	YATHARTH	YATHARTH-EQ	EQ	1011980	5	1	EQ	0	2	1	INE0JO301016	1	YATHARTH HOSP & TRA C S L
NSE	18131	YASHO	YASHO-EQ	EQ	1011980	10	1	EQ	0	2	1	INE616Z01012	1	YASHO INDUSTRIES LIMITED
